Time,DRIVE_FE(0),MSPEED(0),DRIVE_CURRENT(0),DPOS(0)
0.0,1.66893e-05,0.01192,48.0,55.0
0.01,2.47955e-05,-0.00095,34.0,55.0
0.02,2.0504e-05,-0.01287,41.0,55.0
0.03,2.71797e-05,-0.00381,33.0,55.0
0.04,1.43051e-05,-0.01287,49.0,55.0
0.05,2.24113e-05,0.0,51.0,55.0
0.06,1.14441e-05,0.00906,38.0,55.0
0.07,2.0504e-05,0.00095,38.0,55.0
0.08,2.28882e-05,0.00954,42.0,55.0
0.09,1.00136e-05,0.02003,35.0,55.0
0.1,2.43187e-05,-0.00811,33.0,55.0
0.11,3.29018e-05,-0.01431,33.0,55.0
0.12,1.66893e-05,0.00858,35.0,55.0
0.13,2.57492e-05,-0.0124,41.0,55.0
0.14,2.24113e-05,-0.00286,28.0,55.0
0.15,1.38283e-05,0.00715,40.0,55.0
0.16,2.47955e-05,0.00763,43.0,55.0
0.17,2.14577e-05,-0.01001,33.0,55.0
0.18,1.66893e-05,-0.00763,43.0,55.0
0.19,2.00272e-05,0.01764,44.0,55.0
0.2,1.95503e-05,-0.00334,49.0,55.0
0.21,1.33514e-05,-0.00715,42.0,55.0
0.22,1.71661e-05,-0.01383,34.0,55.0
0.23,2.09808e-05,0.01192,39.0,55.0
0.24,2.0504e-05,0.01574,38.0,55.0
0.25,2.19345e-05,0.00811,41.0,55.0
0.26,3.29018e-05,-0.02432,44.0,55.0
0.27,2.3365e-05,-0.00525,47.0,55.0
0.28,1.7643e-05,-0.01478,47.0,55.0
0.29,1.38283e-05,-0.00286,42.0,55.0
0.3,2.47955e-05,-0.00477,43.0,55.0
0.31,2.3365e-05,-0.01621,44.0,55.0
0.32,1.66893e-05,0.00286,36.0,55.0
0.33,2.38419e-05,0.00381,35.0,55.0
0.34,2.19345e-05,-0.00238,48.0,55.0
0.35,2.81334e-05,-0.01478,38.0,55.0
0.36,4.76837e-06,0.00906,31.0,55.0
0.37,7.62939e-06,0.02527,36.0,55.0
0.38,1.66893e-05,-0.00286,34.0,55.0
0.39,2.09808e-05,-0.0124,42.0,55.0
0.4,1.00136e-05,0.00191,41.0,55.0
0.41,8.10623e-06,0.00095,36.0,55.0
0.42,3.29018e-05,-0.00572,34.0,55.0
0.43,1.43051e-05,-0.00477,29.0,55.0
0.44,2.19345e-05,0.00477,33.0,55.0
0.45,2.19345e-05,0.00811,39.0,55.0
0.46,8.10623e-06,0.01192,37.0,55.0
0.47,9.53674e-06,0.02289,34.0,55.0
0.48,2.52724e-05,-0.01669,41.0,55.0
0.49,3.67165e-05,-0.01907,46.0,55.0
0.5,1.85966e-05,0.01526,31.0,55.0
0.51,1.52588e-05,0.00525,46.0,55.0
0.52,2.81334e-05,-0.00525,32.0,55.0
0.53,1.19209e-05,-0.00334,42.0,55.0
0.54,2.71797e-05,-0.00906,41.0,55.0
0.55,1.14441e-05,-0.00095,30.0,55.0
0.56,2.67029e-05,-0.00858,56.0,55.0
0.57,9.53674e-06,0.01669,45.0,55.0
0.58,9.05991e-06,0.00572,40.0,55.0
0.59,1.90735e-05,0.00572,34.0,55.0
0.6,1.62125e-05,0.01049,47.0,55.0
0.61,1.90735e-05,0.00238,43.0,55.0
0.62,2.0504e-05,-0.00095,43.0,55.0
0.63,1.71661e-05,0.01001,45.0,55.0
0.64,3.14713e-05,-0.00858,30.0,55.0
0.65,2.3365e-05,-0.00191,30.0,55.0
0.66,1.23978e-05,0.0205,36.0,55.0
0.67,2.57492e-05,-0.00477,41.0,55.0
0.68,2.14577e-05,0.01001,39.0,55.0
0.69,2.28882e-05,-0.01192,45.0,55.0
0.7,2.67029e-05,-0.01097,49.0,55.0
0.71,2.90871e-05,-0.0124,32.0,55.0
0.72,1.95503e-05,0.01287,34.0,55.0
0.73,2.38419e-05,0.0186,45.0,55.0
0.74,1.57356e-05,0.01192,43.0,55.0
0.75,2.00272e-05,0.00048,42.0,55.0
0.76,1.81198e-05,-0.00238,32.0,55.0
0.77,2.76566e-05,-0.0205,42.0,55.0
0.78,2.0504e-05,-0.00381,41.0,55.0
0.79,1.57356e-05,-0.00668,32.0,55.0
0.8,1.04904e-05,0.00286,33.0,55.0
0.81,0.03181,1.10006,346.0,55.12017
0.82,0.16567,97.05257,1013.0,55.85517
0.83,0.18102,135.65493,805.0,57.11114
0.84,0.29949,102.04268,899.0,58.41114
0.85,0.35419,131.31428,793.0,59.71114
0.86,0.34173,138.70859,869.0,61.01114
0.87,0.26839,132.10726,871.0,62.31114
0.88,0.22629,138.27324,887.0,63.61114
0.89,0.10841,144.063,696.0,64.91114
0.9,0.05345,130.6386,790.0,66.21114
0.91,0.04403,133.78048,827.0,67.51114
0.92,0.00454,132.65562,727.0,68.81114
0.93,0.00294,126.9908,809.0,70.11114
0.94,0.0332,130.05352,879.0,71.41114
0.95,0.00641,133.03852,767.0,72.71114
0.96,-0.01247,126.56212,773.0,74.01114
0.97,0.02291,129.56095,876.0,75.31114
0.98,-0.00149,129.7946,796.0,76.61114
0.99,-0.03514,127.93732,738.0,77.91114
1.0,0.00491,127.74038,840.0,79.21114
1.01,-0.0145,135.47182,720.0,80.51114
1.02,-0.01397,128.25823,801.0,81.81114
1.03,0.03041,125.73481,909.0,83.11114
1.04,0.02394,133.55827,795.0,84.41114
1.05,0.00494,127.32315,809.0,85.71114
1.06,0.04007,128.01123,917.0,87.01114
1.07,0.02449,132.70664,817.0,88.31114
1.08,-0.00436,129.67491,806.0,89.61114
1.09,0.03157,127.82288,937.0,90.91114
1.1,0.01557,135.44559,842.0,92.21114
1.11,-0.0223,131.21128,790.0,93.51114
1.12,0.01151,125.67854,922.0,94.81114
1.13,-0.00123,136.35969,795.0,96.11114
1.14,-0.07234,132.49969,660.0,97.41114
1.15,-0.0223,125.08249,903.0,98.71114
1.16,-0.0233,135.12659,730.0,100.01114
1.17,-0.11065,129.70257,552.0,101.31114
1.18,-0.05168,124.56036,780.0,102.61114
1.19,-0.02184,131.34289,742.0,103.91114
1.2,-0.06588,127.00462,609.0,105.21114
1.21,-0.01298,124.27568,773.0,106.51114
1.22,0.02769,128.87144,781.0,107.81114
1.23,0.0038,133.55064,684.0,109.11114
1.24,0.01106,127.70271,763.0,110.41114
1.25,0.03543,132.59125,780.0,111.71114
1.26,-0.02434,131.28662,655.0,113.01114
1.27,0.01555,125.18311,833.0,114.31114
1.28,0.03598,129.86708,808.0,115.61114
1.29,0.02019,137.32862,730.0,116.91114
1.3,0.02322,124.95184,850.0,118.21114
1.31,0.04129,131.30283,817.0,119.51114
1.32,-0.00981,137.71772,656.0,120.81114
1.33,-0.01463,122.80703,800.0,122.11114
1.34,0.01564,130.60141,814.0,123.41114
1.35,-0.01391,138.33618,665.0,124.71114
1.36,-0.04077,124.30906,745.0,126.01114
1.37,-0.00287,127.08616,796.0,127.31114
1.38,-0.03437,135.94294,636.0,128.61114
1.39,-0.0623,120.07713,689.0,129.91114
1.4,-0.01494,133.93211,708.0,131.21114
1.41,-0.07721,140.69891,477.0,132.51114
1.42,-0.04539,118.63995,741.0,133.81114
1.43,0.01658,124.68767,758.0,135.11114
1.44,-0.01656,141.65306,544.0,136.41114
1.45,-0.03349,120.65315,676.0,137.71114
1.46,0.01412,125.73814,744.0,139.01114
1.47,0.00619,138.29422,599.0,140.31114
1.48,-0.04009,123.83604,572.0,141.61114
1.49,0.01283,128.67022,713.0,142.91114
1.5,0.03002,132.01094,714.0,144.21114
1.51,0.00971,130.17082,657.0,145.51114
1.52,0.04333,126.05476,794.0,146.81114
1.53,0.05449,130.70107,786.0,148.11114
1.54,0.00639,134.78994,636.0,149.41114
1.55,0.03619,127.05374,816.0,150.71114
1.56,0.02749,135.04648,714.0,152.01114
1.57,-0.0685,132.46489,513.0,153.31114
1.58,-0.01804,124.00436,779.0,154.61114
1.59,0.00515,129.1213,733.0,155.91114
1.6,-0.01961,131.7997,650.0,157.21114
1.61,0.00546,126.64652,760.0,158.51114
1.62,0.03062,130.06163,765.0,159.81114
1.63,-0.00476,130.64671,661.0,161.11114
1.64,0.03337,127.13432,830.0,162.41114
1.65,0.04665,130.97811,811.0,163.71114
1.66,0.00976,133.44383,706.0,165.01114
1.67,0.00501,123.5218,788.0,166.31114
1.68,0.01492,134.16481,709.0,167.61114
1.69,-0.07968,129.14991,521.0,168.91114
1.7,-0.07983,127.94638,585.0,170.21114
1.71,-0.04008,127.73228,700.0,171.51114
1.72,-0.10134,135.85663,406.0,172.81114
1.73,-0.041,126.23549,669.0,174.11114
1.74,0.01254,126.95265,711.0,175.41114
1.75,-0.00281,136.17229,573.0,176.71114
1.76,-0.01438,123.62719,639.0,178.01114
1.77,0.01632,127.72512,689.0,179.31114
1.78,-0.0208,141.48569,496.0,180.61114
1.79,-0.01214,119.30084,703.0,181.91114
1.8,0.02959,128.6993,677.0,183.21114
1.81,0.04208,133.49867,679.0,184.51114
1.82,0.03945,130.29528,726.0,185.81114
1.83,0.05329,126.08624,774.0,187.11114
1.84,0.02549,138.96608,627.0,188.41114
1.85,-0.05151,125.76485,559.0,189.71114
1.86,-0.01606,132.40957,669.0,191.01114
1.87,-0.06441,131.81877,500.0,192.31114
1.88,-0.05424,127.73228,588.0,193.61114
1.89,0.00128,128.16668,704.0,194.91114
1.9,-0.02407,133.76045,536.0,196.21114
1.91,-0.04538,125.06533,544.0,197.51114
1.92,0.00167,126.84917,640.0,198.81114
1.93,0.04546,130.08547,713.0,200.11114
1.94,-0.02443,126.20687,500.0,201.41114
1.95,-0.01117,136.59334,549.0,202.71114
1.96,-0.02062,130.58853,561.0,204.01114
1.97,-0.06993,129.31967,433.0,205.31114
1.98,-0.01929,126.97983,592.0,206.61114
1.99,0.03167,131.68955,634.0,207.91114
2.0,-0.04293,129.53424,448.0,209.21114
2.01,-0.00387,130.1465,541.0,210.51114
2.02,-0.00361,131.22797,516.0,211.81114
2.03,-0.03828,134.56917,426.0,213.11114
2.04,-0.02244,124.856,558.0,214.41114
2.05,-0.00592,129.61674,528.0,215.71114
2.06,-0.02252,131.05059,451.0,217.01114
2.07,0.00689,122.3135,595.0,218.31114
2.08,0.02659,126.74904,571.0,219.61114
2.09,-0.00216,132.3185,474.0,220.91114
2.1,0.00401,122.55335,591.0,222.21114
2.11,0.03369,126.62268,585.0,223.51114
2.12,0.02123,138.3276,495.0,224.81114
2.13,-0.01222,128.05033,520.0,226.11114
2.14,0.00601,132.95937,562.0,227.41114
2.15,-0.00297,136.88946,517.0,228.71114
2.16,-0.01911,125.93794,523.0,230.01114
2.17,-0.0039,126.36566,557.0,231.31114
2.18,0.00898,131.57463,552.0,232.61114
2.19,-0.01464,126.92881,511.0,233.91114
2.2,0.00503,131.90269,538.0,235.21114
2.21,0.01564,125.21458,613.0,236.51114
2.22,-0.0047,130.30481,497.0,237.81114
2.23,0.01612,132.72381,574.0,239.11114
2.24,-0.01192,127.74611,518.0,240.41114
2.25,-0.00046,125.30184,582.0,241.71114
2.26,0.01264,132.10869,557.0,243.01114
2.27,-0.00023,130.26524,543.0,244.31114
2.28,-0.02168,130.18942,493.0,245.61114
2.29,0.02725,132.5326,621.0,246.91114
2.3,0.00576,123.30198,587.0,248.21114
2.31,-0.06216,120.51058,209.0,249.39065
2.32,0.0545,29.68216,222.0,249.95364
2.33,0.05246,4.63963,210.0,249.9955
2.34,-0.16526,-6.6514,-428.0,249.66983
2.35,-0.37571,-93.96076,-838.0,248.66699
2.36,-0.48911,-120.75853,-581.0,247.36886
2.37,-0.54694,-145.76244,-556.0,246.06886
2.38,-0.45293,-131.32811,-576.0,244.76886
2.39,-0.35889,-134.40704,-551.0,243.46886
2.4,-0.31646,-141.6235,-643.0,242.16886
2.41,-0.24185,-136.99102,-645.0,240.86886
2.42,-0.15245,-134.77135,-573.0,239.56886
2.43,-0.10872,-132.21216,-623.0,238.26886
2.44,-0.08409,-133.67128,-643.0,236.96886
2.45,-0.03036,-132.24125,-575.0,235.66886
2.46,-0.04227,-130.50175,-658.0,234.36886
2.47,-0.03295,-130.23567,-639.0,233.06886
2.48,-0.0054,-133.60167,-581.0,231.76886
2.49,-0.02308,-127.45237,-708.0,230.46886
2.5,-0.01293,-130.88131,-635.0,229.16886
2.51,0.00861,-133.22544,-582.0,227.86886
2.52,-0.00794,-125.82493,-674.0,226.56886
2.53,-0.00765,-131.09303,-630.0,225.26886
2.54,-0.00119,-133.84724,-617.0,223.96886
2.55,0.00299,-123.60048,-674.0,222.66886
2.56,-0.00917,-130.85747,-641.0,221.36886
2.57,-0.00831,-133.01706,-647.0,220.06886
2.58,-0.01054,-125.41723,-699.0,218.76886
2.59,-0.01679,-131.47545,-650.0,217.46886
2.6,-0.0111,-131.94847,-658.0,216.16886
2.61,0.01239,-128.13902,-630.0,214.86886
2.62,-0.00891,-130.82886,-687.0,213.56886
2.63,-0.0022,-132.13587,-642.0,212.26886
2.64,0.00755,-126.62554,-667.0,210.96886
2.65,-0.01958,-130.12266,-717.0,209.66886
2.66,-0.01379,-130.00822,-689.0,208.36886
2.67,0.02817,-132.08532,-558.0,207.06886
2.68,-0.007,-127.44761,-715.0,205.76886
2.69,-0.00416,-129.84371,-672.0,204.46886
2.7,-0.00463,-129.68302,-679.0,203.16886
2.71,-0.02572,-129.32301,-739.0,201.86886
2.72,-0.00962,-131.71721,-667.0,200.56886
2.73,0.01639,-130.3072,-633.0,199.26886
2.74,-0.01357,-127.42949,-751.0,197.96886
2.75,-0.01011,-130.78356,-678.0,196.66886
2.76,0.00307,-132.84826,-645.0,195.36886
2.77,-0.01178,-126.42431,-743.0,194.06886
2.78,-0.00278,-132.20119,-672.0,192.76886
2.79,0.03188,-135.52427,-605.0,191.46886
2.8,-0.00789,-125.36621,-782.0,190.16886
2.81,-0.00846,-130.71823,-679.0,188.86886
2.82,0.003,-130.12362,-687.0,187.56886
2.83,-0.02197,-127.00033,-762.0,186.26886
2.84,-0.01969,-132.57694,-696.0,184.96886
2.85,0.01155,-134.71365,-645.0,183.66886
2.86,-0.00972,-124.8951,-786.0,182.36886
2.87,-0.01664,-132.06434,-713.0,181.06886
2.88,0.0082,-133.76904,-647.0,179.76886
2.89,-0.00945,-125.46682,-779.0,178.46886
2.9,-0.01837,-131.94895,-729.0,177.16886
2.91,-0.00189,-131.8469,-696.0,175.86886
2.92,0.0048,-127.71797,-718.0,174.56886
2.93,-0.01702,-131.38914,-755.0,173.26886
2.94,0.00426,-131.13356,-699.0,171.96886
2.95,0.00272,-125.52786,-740.0,170.66886
2.96,-0.01941,-131.91509,-745.0,169.36886
2.97,0.00084,-133.21447,-681.0,168.06886
2.98,0.01205,-126.40429,-738.0,166.76886
2.99,-0.0232,-128.72505,-789.0,165.46886
3.0,-0.00735,-131.60801,-701.0,164.16886
3.01,-0.00118,-127.07138,-754.0,162.86886
3.02,-0.02269,-129.64964,-791.0,161.56886
3.03,-0.00912,-132.63416,-728.0,160.26886
3.04,0.01977,-131.59323,-682.0,158.96886
3.05,-0.00863,-126.05667,-808.0,157.66886
3.06,-0.00272,-130.77593,-741.0,156.36886
3.07,-0.00126,-130.24235,-744.0,155.06886
3.08,-0.01941,-127.49958,-808.0,153.76886
3.09,-0.0018,-133.85487,-705.0,152.46886
3.1,0.01699,-130.09262,-730.0,151.16886
3.11,-0.0119,-126.04094,-812.0,149.86886
3.12,-0.00688,-133.27932,-729.0,148.56886
3.13,0.00573,-130.08022,-746.0,147.26886
3.14,-0.0088,-126.23501,-812.0,145.96886
3.15,-0.01146,-133.76522,-759.0,144.66886
3.16,0.01472,-130.50795,-712.0,143.36886
3.17,-0.01067,-126.43719,-828.0,142.06886
3.18,-0.02473,-132.49063,-800.0,140.76886
3.19,-0.00389,-129.8995,-772.0,139.46886
3.2,-0.00486,-127.95019,-791.0,138.16886
3.21,-0.02195,-133.43525,-817.0,136.86886
3.22,0.00729,-130.81169,-770.0,135.56886
3.23,-0.00362,-127.11334,-821.0,134.26886
3.24,-0.02109,-131.7687,-824.0,132.96886
3.25,0.00797,-130.72586,-751.0,131.66886
3.26,0.00536,-128.80468,-805.0,130.36886
3.27,-0.02205,-129.66394,-860.0,129.06886
3.28,-0.01197,-128.58486,-817.0,127.76886
3.29,-0.00069,-131.21033,-787.0,126.46886
3.3,-0.01064,-130.28955,-845.0,125.16886
3.31,0.0019,-130.02729,-796.0,123.86886
3.32,0.00029,-128.50428,-817.0,122.56886
3.33,-0.01624,-129.65775,-865.0,121.26886
3.34,0.0075,-135.13327,-766.0,119.96886
3.35,-0.01097,-126.73092,-885.0,118.66886
3.36,-0.01804,-128.02219,-859.0,117.36886
3.37,-0.00915,-132.48396,-823.0,116.06886
3.38,0.02029,-129.1852,-780.0,114.76886
3.39,-0.00853,-128.87001,-868.0,113.46886
3.4,-0.00764,-129.92573,-833.0,112.16886
3.41,0.00493,-129.0226,-819.0,110.86886
3.42,-0.00833,-128.17049,-869.0,109.56886
3.43,-0.01203,-131.01673,-831.0,108.26886
3.44,0.00753,-132.45535,-779.0,106.96886
3.45,-0.00556,-128.24106,-878.0,105.66886
3.46,-0.00562,-130.87416,-844.0,104.36886
3.47,0.00602,-129.68302,-830.0,103.06886
3.48,-0.0011,-128.58391,-842.0,101.76886
3.49,-0.01565,-129.67205,-887.0,100.46886
3.5,-0.00052,-133.62932,-823.0,99.16886
3.51,-0.00939,-127.23541,-894.0,97.86886
3.52,-0.00835,-130.62954,-849.0,96.56886
3.53,-0.00104,-130.12409,-846.0,95.26886
3.54,-0.00178,-130.05781,-874.0,93.96886
3.55,-0.00527,-131.51121,-853.0,92.66886
3.56,0.00834,-132.83587,-807.0,91.36886
3.57,0.00525,-127.05183,-872.0,90.06886
3.58,-0.00318,-129.56715,-866.0,88.76886
3.59,-0.0025,-131.02674,-842.0,87.46886
3.6,0.00108,-129.77409,-849.0,86.16886
3.61,-0.00075,-129.47893,-854.0,84.86886
3.62,0.01138,-133.6751,-818.0,83.56886
3.63,0.00865,-127.83194,-856.0,82.26886
3.64,0.00662,-129.601,-814.0,80.96886
3.65,0.0021,-131.17504,-838.0,79.66886
3.66,0.00351,-128.95393,-855.0,78.36886
3.67,-0.00146,-130.08547,-847.0,77.06886
3.68,-0.00531,-131.71673,-839.0,75.76886
3.69,0.0074,-127.54107,-837.0,74.46886
3.7,-0.00019,-130.76258,-845.0,73.16886
3.71,-0.00566,-128.15189,-865.0,71.86886
3.72,-0.00064,-130.44214,-820.0,70.56886
3.73,-0.00135,-130.67436,-837.0,69.26886
3.74,-0.00487,-128.61109,-868.0,67.96886
3.75,0.01451,-129.36401,-821.0,66.66886
3.76,0.01237,-131.97327,-807.0,65.36886
3.77,0.01135,-128.15857,-834.0,64.06886
3.78,0.00906,-129.46272,-837.0,62.76886
3.79,-0.00407,-130.63526,-847.0,61.46886
3.8,-0.001,-127.21968,-848.0,60.16886
3.81,0.01459,-132.99942,-777.0,58.86886
3.82,0.00654,-132.50637,-830.0,57.56886
3.83,0.01358,-126.21546,-826.0,56.27337
3.84,0.07323,-98.49501,-176.0,55.29992
3.85,0.07668,-19.45496,-122.0,55.00275
3.86,0.15823,-11.85942,-209.0,55.05717
3.87,0.41953,53.81727,832.0,55.65217
3.88,0.5269,110.68583,857.0,56.85114
3.89,0.58716,115.52048,558.0,58.15114
3.9,0.66713,138.09109,835.0,59.45114
3.91,0.58115,146.97981,804.0,60.75114
3.92,0.4017,141.50333,678.0,62.05114
3.93,0.32057,140.59877,806.0,63.35114
3.94,0.22429,137.49838,761.0,64.65114
3.95,0.0918,130.21898,603.0,65.95114
3.96,0.08535,137.56704,747.0,67.25114
3.97,0.0146,141.6316,595.0,68.55114
3.98,-0.04321,122.97869,609.0,69.85114
3.99,-0.0294,131.2356,605.0,71.15114
4.0,-0.04704,130.81026,564.0,72.45114
4.01,-0.04475,125.79107,609.0,73.75114
4.02,0.01207,122.54667,746.0,75.05114
4.03,0.03468,131.23655,673.0,76.35114
4.04,0.01025,125.78392,655.0,77.65114
4.05,0.04594,127.96021,763.0,78.95114
4.06,0.0518,133.80861,738.0,80.25114
4.07,0.02028,128.82614,701.0,81.55114
4.08,0.04306,127.6083,787.0,82.85114
4.09,0.02972,137.87699,695.0,84.15114
4.1,-0.03251,132.85589,605.0,85.45114
4.11,0.01622,127.68459,836.0,86.75114
4.12,0.02323,131.09732,739.0,88.05114
4.13,-0.01982,131.15788,640.0,89.35114
4.14,0.00936,126.11246,797.0,90.65114
4.15,0.02516,135.19955,749.0,91.95114
4.16,-0.04391,135.11705,589.0,93.25114
4.17,-0.01145,125.92077,767.0,94.55114
4.18,0.00992,127.93589,752.0,95.85114
